PARAMETER	1_CONIFEROUS-1	2_CONIFEROUS-2	3_DECIDUOUS-1	4_DECIDUOUS-2
BETA	0.5	0.5	0.5	0.5
CBTREE0	0.0005	0.0005	0.0005	0.0005
CLTREE0	0.0001	0.0001	0.0001	0.0001
CRTREE0	0.0001	0.0001	0.0001	0.0001
CSTREE0	0.0005	0.0005	0.0005	0.0005
FB	0.285	0.285	0.31	0.31
FLMAX	0.3	0.3	0.28	0.28
FNCLMIN	0.5	0.5	0.5	0.5
FS	0.285	0.285	0.31	0.31
FTCCLMIN	0.9	0.9	0.55	0.55
GAMMA	0.5	0.5	0.5	0.5
KAC	8	8	9.5	9.5
KACEXP	0.375	0.375	0.375	0.375
KBA	2	2	2	2
KEXT	0.5	0.5	0.5	0.5
KH	8	8	8	8
KHEXP	0.25	0.25	0.25	0.25
KNMIN	0.001	0.001	0.001	0.001
KNUPT	0.001	0.001	0.001	0.001
KRAININT	0.25	0.25	0.25	0.25
LUEMAX	0.002	0.002	0.0025	0.0025
NCLMAX	0.04	0.04	0.04	0.04
NCR	0.03	0.03	0.03	0.03
NCW	0.001	0.001	0.001	0.001
SLA	5	5	30	30
TCCB	6205	6205	6205	6205
TCCLMAX	1440	1440	3	3
TCCR	5000	5000	4000	4000
TOPT	20	20	20	20
TTOL	10	10	10	10
TRANCO	6	6	6	6
WOODDENS	205	205	320	320
CLITT0	1	1	0.8	0.8
CSOM0	10	10	8	8
CNLITT0	34	34	25	25
CNSOMF0	25	25	20	20
CNSOMS0	25	25	25	25
FCSOMF0	0.18	0.18	0.32	0.32
FLITTSOMF	0.6	0.6	0.6	0.6
FSOMFSOMS	0.03	0.03	0.03	0.03
RNLEACH	0.9	0.9	0.6	0.6
KNEMIT	0.0006	0.0006	0.0003	0.0003
NMIN0	0.001	0.001	0.0015	0.0015
TCLITT	730	730	530	530
TCSOMF	18250	18250	12250	12250
TCSOMS	182500	182500	122500	122500
TMAXF	50	50	50	50
TSIGMAF	19	19	19	19
RFN2O	8.73	8.73	8.5	8.5
WFPS50N2O	0.72	0.72	0.62	0.62
ROOTD	1	1.5	0.65	0.8
WCST	0.3672355	0.4666	0.501398	0.3672355
FWCAD	0.01	0.01	0.01	0.01
FWCWP	0.231459105	0.225032147	0.668131903	0.231459105
FWCFC	0.530994416	0.546506644	0.867574262	0.530994416
FWCWET	0.95	0.95	0.95	0.95
TREEDENS0	0.45	0.45	0.45	0.4452
LAT	39.34583333	67.36166667	51.07916667	48.47611111
LAIMAX	5	5	7	7
