BETA	0.3	0.5	0.7	1
CBTREE0	0.00025	0.0005	0.001	1
CLTREE0	0.00005	0.0001	0.0002	1
CRTREE0	0.00005	0.0001	0.0002	1
CSTREE0	0.00025	0.0005	0.001	1
FB	0.275	0.31	0.325	1
FLMAX	0.25	0.28	0.35	1
FNCLMIN	0.3	0.5	0.7	1
FS	0.275	0.31	0.325	1
FTCCLMIN	0.4	0.55	1	1
GAMMA	0.4	0.5	0.6	1
KAC	3	9.5	15	1
KACEXP	0.3	0.375	0.45	1
KBA	1	2	3	1
KEXT	0.35	0.5	0.65	1
KH	3	8	20	1
KHEXP	0.2	0.25	0.3	1
KNMIN	0.0005	0.001	0.002	1
KNUPT	0.0005	0.001	0.002	1
KRAININT	0.15	0.25	0.4	1
LUEMAX	0.001	0.002	0.003	1
NCLMAX	0.02	0.04	0.05	1
NCR	0.02	0.03	0.04	1
NCW	0.0005	0.001	0.002	1
SLA	15	30	50	1
TCCB	3103	6205	12410	1
TCCLMAX	2	3	10	1
TCCR	1825	4000	7300	1
TOPT	12	20	28	1
TTOL	5	10	50	1
TRANCO	4	6	8	1
WOODDENS	250	320	400	1
CNLITT0	25	35	45	1
CNSOMF0	10	15	25	1
CNSOMS0	10	15	25	1
FCSOMF0	0.2	0.32	0.4	1
FLITTSOMF	0.4	0.6	0.8	1
FSOMFSOMS	0.01	0.03	0.06	1
RNLEACH	0.1	0.6	1	1
KNEMIT	0.0002	0.0003	0.001	1
TCLITT	300	530	1000	1
TCSOMF	6500	12250	25000	1
TCSOMS	65000	122500	250000	1
TMAXF	35	50	65	1
TSIGMAF	15	19	23	1
RFN2O	5	8.5	13	1
WFPS50N2O	0.5	0.62	0.9	1
LAIMAX	5	7	9	1
CLITT0	0.5	0.8	1.5	1
CSOM0	5	8	15	1
ROOTD	0.48	0.65	0.71	1
WCST	0.43	0.5886	0.85	1
FWCWP	0.15	0.262	0.59	1
FWCFC	0.35	0.413	0.80	1
